Question,Answer
What are the three incapacity conditions under Section 84?,Unsound mind must prevent understanding:
"If a schizophrenic knows killing is wrong but thinks God ordered it, is Section 84 available?","Potentially, if delusions negate understanding of wrongfulness."
How does Section 85 treat involuntary intoxication?,Provides defense if intoxication negates knowledge of the act's nature/wrongfulness.
"If someone spikes A's drink causing violent behavior, can A claim Section 85?","Yes, if intoxication was truly involuntary."
What is the key limitation of Section 86 for intoxicated offenders?,"They are presumed to have the same intent as if sober, unless intoxication was involuntary."
"If drunk X assaults Y, can X claim he didn't intend harm?","No, Section 86 imputes intent unless intoxication was forced."
"If A consents to a boxing match and dies, is B liable?",Not under Section 87 if rules were followed and no foul play.
How does Section 88 extend consent protections to beneficial acts?,"Covers acts done in good faith for benefit, even if harm occurs (e.g., surgery)."
Can a surgeon be liable if a consented operation fails?,"No, if done in good faith with proper skill (Section 88 illustration)."
What are the four exceptions to Section 89's guardian consent defense?,Cannot justify:
"If parents consent to risky traditional healing for a child, is harm excused?","No, if it violates Section 89's exceptions (e.g., likely death)."
When is consent vitiated under Section 90?,If given:
"If Z consents to sex believing X will marry her, is consent valid?","No, if marriage promise was fraudulent (misconception under Section 90)."
How does Section 91 limit consent defenses?,"Consent never justifies acts that are offenses independently (e.g., causing miscarriage)."
Can consent legalize assisted suicide under Section 91?,"No, since suicide abetment is independently punishable."
"If a doctor performs emergency surgery on an unconscious patient, is it legal?","Yes, under Section 92 if medically necessary."
"X, aged 8 with ADHD, steals a phone. Defense?",Section 83 - depends on maturity assessment.
"Y forces Z at gunpoint to ""consent"" to property damage. Valid?","No, consent under fear is void (Section 90)."
A surgeon operates on B without consent during life-threatening hemorrhage. Liability?,Protected by Section 92 (emergency benefit).
Drunk driver C hits pedestrian. Can he claim lack of intent?,"No, Section 86 imputes intent for voluntary intoxication."
What protection does Section 93 provide for communications?,No offense if communication is made in good faith for the recipient's benefit.
"If a doctor truthfully tells a patient they're terminally ill, causing distress, is this illegal?","No, protected under Section 93 (illustration applies)."
What are the limits of Section 94's defense of compulsion?,"Only applies to threats of instant death, excluding murder and state offenses."
Can a bank robber claim compulsion if forced by accomplices?,"No, Section 94 excludes self-created compulsion (Explanation 1)."
What is the de minimis threshold under Section 95?,"Harm so slight that a ""person of ordinary sense/temper"" wouldn't complain."
"If A lightly pushes B in a crowd, is it an offense?",Likely falls under Section 95's trivial harm exception.
How does Section 96 define the right of private defense?,It is an inherent right (not granted by law) against offenses.
Against which property offenses does private defense apply?,"Theft, robbery, mischief, criminal trespass, or attempts thereof."
"If X sees Y stealing Z's phone, can X use force to stop it?","Yes, defense of another's property is permitted (Section 97)."
How does Section 98 extend private defense against incompetent attackers?,Allows defense against children/insane persons as if they were competent.
"If a mentally ill person attacks with a knife, can the victim retaliate?","Yes, with the same force as against a sane attacker (Section 98)."
What three restrictions does Section 99 place on private defense?,No defense against:
Can you resist unlawful arrest by a police officer?,Only if the officer uses excessive force causing reasonable fear of grievous harm.
What is the proportionality rule under Section 99's Explanation 2?,Defense must not inflict more harm than necessary to repel the attack.
